"location_name","location","indicator","year_week","value","source"
"Belgium","BE","cases","2020-26",607,"TESSy COVID-19"
"Belgium","BE","cases","2020-27",637,"TESSy COVID-19"
"Belgium","BE","cases","2020-28",704,"TESSy COVID-19"
"Belgium","BE","cases","2020-29",1385,"TESSy COVID-19"
"Belgium","BE","cases","2020-30",2489,"TESSy COVID-19"
"Belgium","BE","cases","2020-31",3759,"TESSy COVID-19"
"Belgium","BE","cases","2020-32",4340,"TESSy COVID-19"
"Belgium","BE","cases","2020-33",3751,"TESSy COVID-19"
"Belgium","BE","cases","2020-34",3453,"TESSy COVID-19"
"Belgium","BE","cases","2020-35",3121,"TESSy COVID-19"
"Belgium","BE","cases","2020-36",3655,"TESSy COVID-19"
"Belgium","BE","cases","2020-37",6158,"TESSy COVID-19"
"Belgium","BE","cases","2020-38",10108,"TESSy COVID-19"
"Belgium","BE","cases","2020-39",11274,"TESSy COVID-19"
"Belgium","BE","cases","2020-40",18895,"TESSy COVID-19"
"Belgium","BE","cases","2020-41",38852,"TESSy COVID-19"
"Belgium","BE","cases","2020-42",72232,"TESSy COVID-19"
"Belgium","BE","cases","2020-43",105383,"TESSy COVID-19"
"Belgium","BE","cases","2020-44",99584,"TESSy COVID-19"
"Belgium","BE","cases","2020-45",54006,"TESSy COVID-19"
"Belgium","BE","cases","2020-46",33967,"TESSy COVID-19"
"Belgium","BE","cases","2020-47",22312,"TESSy COVID-19"
"Belgium","BE","cases","2020-48",16261,"TESSy COVID-19"
"Belgium","BE","cases","2020-49",15289,"TESSy COVID-19"
"Belgium","BE","cases","2020-50",16840,"TESSy COVID-19"
"Belgium","BE","cases","2020-51",17714,"TESSy COVID-19"
"Belgium","BE","cases","2020-52",12607,"TESSy COVID-19"
"Belgium","BE","cases","2020-53",8976,"TESSy COVID-19"
